"","Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
"4536",7.57273158955083,4e+05,4e+05,4e+05,NA,1944.44445800781,1944.44445800781,NA,48,48,NA,44,0,2,7,0,17,21,57,1,0,"Small",NA,2,1,1,0
"4537",8.38366179879172,9e+05,9e+05,9e+05,NA,4375,4375,NA,48,48,NA,25,1,2,6,1,11,8,85,1,0,"Small",NA,2,1,1,0
"4538",8.45121624040094,902718.416666667,902718.4375,781242,NA,4680.76220703125,4050.88452148438,NA,45,45,NA,32,0,2,6,1,11,15,97,1,1,"No Small",1,5,1,1,0
"4539",8.92942545475896,2330000,2330000,1450000,NA,7550.92578125,4699.07421875,NA,72,72,NA,35,1,2,5,0,9,20,98,1,1,"Small",1,2,1,1,0
"4540",8.42301042272011,936119.666666667,936119.6875,781242,NA,4550.58203125,3797.7041015625,NA,48,48,NA,32,1,2,7,0,14,12,38,1,1,"No Small",1,5,1,1,0
"4541",8.28138296340756,812500,812500,750000,NA,3949.65283203125,3645.83325195312,NA,48,48,NA,21,0,2,7,0,13,2,38,1,1,"No Small",1,4,1,1,0
"4542",8.31911375379927,843742,843742,781242,NA,4101.5234375,3797.7041015625,NA,48,48,NA,30,0,2,6,1,11,13,33,1,1,"No Small",1,5,1,1,0
"4543",8.03226388258352,1070000,950000,950000,NA,3078.70361328125,3078.70361328125,NA,72,72,NA,39,1,2,5,0,6,27,37,1,0,"Small",3,2,1,1,0
"4544",8.2250567468168,720000,576000,576000,NA,3733.33325195312,3733.33325195312,NA,36,36,NA,37,0,2,6,1,11,20,54,3,0,"Small",3,1,4,1,0
"4545",8.35214279759703,872075.333333333,872075.3125,781242,NA,4239.2548828125,3797.7041015625,NA,48,48,NA,31,0,2,6,1,11,14,55,1,1,"No Small",1,4,1,1,0
"4546",9.00781608793486,1400000,1400000,1400000,NA,8166.66650390625,8166.66650390625,NA,40,40,NA,22,1,3,7,0,12,4,3,1,1,"No Small",1,5,1,1,0
"4547",8.59662035511414,1160000,1160000,1120000,NA,5413.33349609375,5226.66650390625,NA,50,50,NA,23,1,2,6,1,11,6,95,1,1,"No Small",1,5,1,1,0
"4548",8.41745054648622,930929.416666667,930929.4375,781242,NA,4525.3515625,3797.7041015625,NA,48,48,NA,49,1,2,4,0,5,38,45,1,1,"Small",1,2,1,1,0
"4549",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,35,0,3,7,0,13,16,55,1,1,"No Small",1,5,1,1,0
"4550",8.27366088281327,806250,806250,781250,NA,3919.27075195312,3797.7431640625,NA,48,48,NA,51,0,3,6,1,11,34,79,1,1,"No Small",1,5,1,1,0
"4551",8.27366088281327,806250,806250,781250,NA,3919.27075195312,3797.7431640625,NA,48,48,NA,26,0,3,6,1,11,9,45,1,1,"No Small",1,3,1,1,0
"4552",8.39058221700575,906250,906250,781250,NA,4405.3818359375,3797.7431640625,NA,48,48,NA,19,0,3,6,1,11,2,3,1,1,"No Small",1,4,1,1,0
"4553",8.24215197932255,781242,781242,781242,NA,3797.7041015625,3797.7041015625,NA,48,48,NA,33,1,1,6,1,11,16,37,1,0,"Small",3,2,1,1,0
"4554",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,31,1,1,6,1,11,14,39,1,1,"No Small",1,5,1,1,0
"4555",8.33020474599349,888700,888700,8e+05,NA,4147.2666015625,3733.33325195312,NA,50,50,NA,59,1,3,3,0,3,50,77,1,1,"No Small",1,3,1,1,0
"4556",9.58763458079622,3e+06,3e+06,3e+06,NA,14583.3330078125,14583.3330078125,NA,48,48,NA,22,1,3,7,0,12,4,45,1,0,"No Small",1,3,1,1,0
"4557",8.41745054648622,930929.416666667,930929.4375,781242,NA,4525.3515625,3797.7041015625,NA,48,48,NA,53,0,3,4,0,5,42,55,1,1,"No Small",1,3,6,1,0
"4558",8.69390218475347,1227377.66666667,1227377.625,1e+06,NA,5966.4189453125,4861.111328125,NA,48,48,NA,34,1,2,6,1,11,17,58,1,1,"No Small",1,4,1,1,0
"4559",8.8865970223844,1488211,1488211,1400000,NA,7234.35888671875,6805.5556640625,NA,48,48,NA,24,1,2,7,0,16,2,2,1,1,"No Small",1,4,1,1,0
"4560",8.4461527451674,958036.333333333,958036.3125,781242,NA,4657.12109375,3797.7041015625,NA,48,48,NA,43,1,2,5,0,7,30,87,1,1,"No Small",1,5,1,1,0
"4561",8.44812683090091,1209929.41666667,959929.4375,781242,NA,4666.32373046875,3797.7041015625,NA,48,48,NA,50,0,2,5,0,9,35,53,1,1,"No Small",1,5,1,1,0
"4562",9.47763372451462,2687500,2687500,2500000,NA,13064.236328125,12152.77734375,NA,48,48,NA,30,1,3,7,0,16,8,2,1,1,"No Small",1,3,1,1,0
"4563",9.32193144708961,3125000,2875000,1800000,NA,11180.5556640625,7000,NA,60,60,NA,29,1,3,7,0,17,6,15,1,1,"No Small",1,4,1,1,0
