"Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
8.46102826368491,1260394.16666667,972394.1875,820850,NA,4726.916015625,3990.2431640625,NA,48,48,NA,53,0,4,7,0,16,31,51,1,1,"Small",1,2,6,1,0
10.7019952682851,1.2e+07,1.2e+07,1e+07,2e+06,44444.4453125,38888.890625,155555.555555556,63,60,3,51,0,4,7,0,24,21,21,2,1,"No Small",1,5,1,1,0
9.47608211443906,2683333.33333333,2683333.25,2500000,NA,13043.9814453125,12152.77734375,NA,48,48,NA,31,1,4,7,0,16,9,2,1,1,"Small",1,2,6,1,0
9.26118608574572,1623333.33333333,1623333.375,1490000,NA,10521.60546875,9657.4072265625,NA,36,36,NA,28,0,4,7,0,16,6,39,1,1,"No Small",1,5,1,1,0
8.7513865617467,1300000,1300000,1300000,NA,6319.4443359375,6319.4443359375,NA,48,48,NA,26,1,3,7,0,16,4,2,1,1,"No Small",1,4,1,1,0
9.10959883817695,1550000,1550000,1550000,NA,9041.6669921875,9041.6669921875,NA,40,40,NA,57,0,2,7,0,18,33,13,2,1,"No Small",2,5,4,1,0
7.75505310449211,6e+05,6e+05,6e+05,NA,2333.33325195312,2333.33325195312,NA,60,60,NA,49,0,3,7,0,14,29,77,1,1,"Small",1,2,6,1,0
9.70541763877403,3375000,3375000,3e+06,NA,16406.25,14583.3330078125,NA,48,48,NA,58,0,2,7,0,13,39,39,2,1,"No Small",1,5,6,1,0
8.36499649324989,1033357,883357,737717,NA,4294.0966796875,3586.12426757812,NA,48,48,NA,25,1,3,6,1,11,8,87,1,1,"No Small",1,4,6,1,0
9.46509023353859,2837333.33333333,2654000,2e+06,NA,12901.388671875,9722.22265625,NA,48,48,NA,26,0,3,7,0,16,4,2,1,1,"No Small",1,5,1,1,0
8.89448740023628,1500000,1500000,1500000,NA,7291.66650390625,7291.66650390625,NA,48,48,NA,51,1,3,6,1,11,34,91,1,0,"Small",1,2,6,1,0
7.86454792290562,781000,781000,781000,NA,2603.33325195312,2603.33325195312,NA,70,70,NA,45,1,3,6,1,11,28,98,1,1,"Small",1,2,1,1,0
8.40201094557679,916666.666666667,916666.6875,850000,NA,4456.0185546875,4131.9443359375,NA,48,48,NA,38,1,2,6,1,11,21,98,1,1,"No Small",1,4,1,1,0
10.0365848421625,5287500,5287500,4700000,NA,22847.22265625,20308.642578125,NA,54,54,NA,36,1,3,7,0,17,13,8,2,1,"No Small",1,5,1,1,0
7.75505310449211,650000,5e+05,5e+05,NA,2333.33325195312,2333.33325195312,NA,50,50,NA,20,1,1,5,0,9,5,98,1,0,"Small",3,2,6,1,0
11.2252433925184,1.8e+07,1.8e+07,1.8e+07,NA,75000,75000,NA,56,56,NA,53,0,4,7,0,18,29,6,1,1,"No Small",1,5,6,1,0
7.8861508784799,820857,820857,737717,NA,2660.18481445312,2390.74951171875,NA,72,72,NA,22,1,2,6,1,11,5,39,1,1,"No Small",1,5,6,1,0
8.29161595599613,820857,820857,737717,NA,3990.27709960938,3586.12426757812,NA,48,48,NA,46,1,1,4,0,5,35,95,1,1,"Small",1,2,6,1,0
8.32633518540786,849857,849857,737717,NA,4131.24951171875,3586.12426757812,NA,48,48,NA,27,0,2,6,1,11,10,79,1,1,"No Small",1,5,1,1,0
8.69316520537756,1226473.33333333,1226473.375,1e+06,NA,5962.0234375,4861.111328125,NA,48,48,NA,52,0,2,7,0,13,33,59,1,1,"No Small",1,5,1,1,0
7.10272799797251,550000,250000,250000,NA,1215.27783203125,1215.27783203125,NA,48,48,NA,55,0,2,6,1,10,39,54,3,0,"Small",2,1,1,1,0
8.7513865617467,1300000,1300000,1300000,NA,6319.4443359375,6319.4443359375,NA,48,48,NA,37,1,2,7,0,13,18,19,1,1,"No Small",1,5,1,1,0
8.3067007219413,833333.333333333,833333.3125,8e+05,NA,4050.92578125,3888.88891601562,NA,48,48,NA,63,1,1,3,0,3,54,83,1,1,"No Small",1,5,1,1,0
8.44820028505205,750000,6e+05,6e+05,NA,4666.66650390625,4666.66650390625,NA,30,30,NA,49,0,2,4,0,5,38,54,3,0,"Small",1,1,1,1,0
8.32650335869126,850000,850000,850000,NA,4131.9443359375,4131.9443359375,NA,48,48,NA,22,1,2,6,1,11,5,59,1,0,"No Small",3,3,1,1,0
8.46370454080591,1155000,975000,9e+05,NA,4739.58349609375,4375,NA,48,48,NA,44,1,2,7,0,14,24,36,1,1,"No Small",1,5,1,1,0
8.32653124695858,850023.666666667,850023.6875,737717,NA,4132.0595703125,3586.12426757812,NA,48,48,NA,23,1,1,6,1,11,6,39,1,1,"No Small",1,5,1,1,0
7.90920379926675,7e+05,7e+05,7e+05,NA,2722.22216796875,2722.22216796875,NA,60,60,NA,28,1,1,3,0,2,20,39,1,0,"No Small",3,5,1,1,0
8.29161595599613,820857,820857,737717,NA,3990.27709960938,3586.12426757812,NA,48,48,NA,41,1,1,5,0,9,26,58,1,1,"No Small",1,4,1,1,0
8.57257273994185,1087140,1087140,9e+05,NA,5284.70849609375,4375,NA,48,48,NA,45,1,2,6,1,11,28,98,1,1,"No Small",1,5,6,1,0
8.57887763744994,1025640,1025640,870000,NA,5318.13330078125,4511.111328125,NA,45,45,NA,44,0,2,6,1,11,27,32,1,1,"Small",1,2,6,1,0
8.68458905210242,1266666.66666667,1266666.625,1200000,NA,5911.11083984375,5600,NA,50,50,NA,40,1,2,7,0,13,21,21,1,1,"No Small",1,3,1,1,0
8.67781177636349,1132300,1132300,9e+05,NA,5871.18505859375,4666.66650390625,NA,45,45,NA,34,0,2,7,0,13,15,3,1,1,"No Small",1,5,1,1,0
8.12280522531175,866690.333333333,866690.3125,737717,NA,3370.46240234375,2868.8994140625,NA,60,60,NA,26,1,3,6,1,11,9,33,1,1,"Small",1,2,1,1,0
8.61091101745023,941357,941357,737717,NA,5491.2490234375,4303.34912109375,NA,40,40,NA,23,0,3,6,1,11,6,55,1,1,"No Small",1,5,1,1,0
8.33041723631671,950000,8e+05,8e+05,NA,4148.14794921875,4148.14794921875,NA,45,45,NA,44,1,3,4,0,5,33,51,1,0,"No Small",3,3,1,1,0
8.38366179879172,9e+05,9e+05,9e+05,NA,4375,4375,NA,48,48,NA,20,0,3,6,1,11,3,45,1,0,"Small",1,2,1,1,0
8.3961759151243,911333.416666667,911333.4375,737717,NA,4430.09326171875,3586.12426757812,NA,48,48,NA,44,1,3,4,0,5,33,45,1,1,"Small",1,2,6,1,0
8.34283980427146,9e+05,9e+05,9e+05,NA,4200,4200,NA,50,50,NA,20,1,3,5,0,8,6,45,1,0,"Small",1,2,6,1,0
8.76397880368464,1316473.33333333,1316473.375,1e+06,NA,6399.5234375,4861.111328125,NA,48,48,NA,21,1,3,6,1,11,4,92,1,1,"No Small",1,4,6,1,0
8.33487159555978,5e+05,5e+05,5e+05,NA,4166.66650390625,4166.66650390625,NA,28,28,NA,38,0,2,6,1,11,21,51,1,0,"Small",1,2,4,1,0
